Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
18120,12289566,JE137209,02/09/2021 05:40:00 PM,016XX E 50TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,222,2,5.0,39,08B,1187971.0,1872185.0,2021,02/16/2021 03:52:33 PM,41.804360707,-87.586129856,"(41.804360707, -87.586129856)"
44632,12331508,JE188820,04/04/2021 12:45:00 AM,058XX S ALBANY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,824,8,14.0,63,14,1156714.0,1865730.0,2021,04/11/2021 05:07:26 PM,41.787335762,-87.70094041700001,"(41.787335762, -87.700940417)"
23130,12297426,JE147531,02/21/2021 02:01:00 AM,048XX W FLOURNOY ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,1533,15,29.0,25,04B,1144441.0,1896520.0,2021,02/28/2021 03:48:02 PM,41.872066896999996,-87.745167886,"(41.872066897, -87.745167886)"
18221,12293941,JE142884,02/09/2021 11:07:00 AM,057XX S MAPLEWOOD AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,824,8,16.0,63,06,1160353.0,1866496.0,2021,02/19/2021 03:45:56 PM,41.789363546,-87.687576605,"(41.789363546, -87.687576605)"
16810,12286966,JE133369,02/05/2021 02:53:00 PM,043XX W ARMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CLEANING STORE,False,True,2534,25,35.0,20,08B,1146976.0,1912932.0,2021,02/12/2021 03:49:04 PM,41.917055176,-87.73544084299999,"(41.917055176, -87.735440843)"
17629,12287872,JE134930,02/07/2021 09:25:00 AM,007XX N FRANKLIN ST,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,1831,18,42.0,8,06,1174189.0,1905462.0,2021,02/14/2021 03:47:33 PM,41.895993005,-87.63568392100002,"(41.895993005, -87.635683921)"
30278,12310031,JE162607,03/06/2021 12:00:00 PM,029XX S QUINN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,913,9,11.0,60,14,1170422.0,1885158.0,2021,03/13/2021 03:51:08 PM,41.840360509,-87.65011273799999,"(41.840360509, -87.650112738)"
37804,12321980,JE177032,03/21/2021 10:00:00 PM,067XX W GRAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2512,25,36.0,18,08B,1130886.0,1915212.0,2021,03/28/2021 04:57:44 PM,41.923604376,-87.794503882,"(41.923604376, -87.794503882)"
32646,12311992,JE165031,03/10/2021 02:54:00 PM,068XX S MERRILL AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,331,3,5.0,43,08A,1191721.0,1860125.0,2021,03/17/2021 04:51:25 PM,41.771176968,-87.57276811,"(41.771176968, -87.57276811)"
16541,12285593,JE131886,02/04/2021 12:30:00 AM,016XX W 83RD ST,0479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,False,614,6,21.0,71,04B,1166689.0,1849667.0,2021,02/11/2021 03:47:49 PM,41.743049589,-87.66482405,"(41.743049589, -87.66482405)"
