Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5254,12267451,JE110394,01/12/2021 08:35:00 AM,012XX S KOLIN AVE,0460,BATTERY,SIMPLE,RESIDENCE,True,False,1011,10,24.0,29,08B,1147580.0,1894020.0,2021,01/19/2021 03:53:51 PM,41.865146994,-87.733707291,"(41.865146994, -87.733707291)"
37628,12320660,JE175561,03/21/2021 06:40:00 PM,0000X W DIVISION ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1824,18,2.0,8,08B,1175950.0,1908370.0,2021,03/28/2021 04:57:44 PM,41.903933222,-87.62912853600002,"(41.903933222, -87.629128536)"
36249,12318897,JE173287,03/18/2021 11:44:00 AM,006XX E 32ND ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,211,2,4.0,35,11,1180911.0,1883686.0,2021,03/25/2021 04:55:39 PM,41.836085835,-87.611668085,"(41.836085835, -87.611668085)"
42241,12328155,JE184557,03/30/2021 05:25:00 PM,028XX S MILLARD AVE,0560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),False,False,1032,10,22.0,30,08A,1152496.0,1884969.0,2021,04/06/2021 05:03:58 PM,41.840214329,-87.715899312,"(41.840214329, -87.715899312)"
19116,12289751,JE137363,02/09/2021 08:06:00 PM,028XX S ARCHER AVE,0460,BATTERY,SIMPLE,CTA TRAIN,True,False,913,9,11.0,60,08B,1169148.0,1886178.0,2021,03/12/2021 03:51:55 PM,41.843187196,-87.654758218,"(41.843187196, -87.654758218)"
2275,12260325,JE101998,01/03/2021 10:00:00 AM,081XX S SANGAMON ST,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,APARTMENT,False,True,613,6,21.0,71,04A,1171391.0,1850924.0,2021,01/16/2021 03:49:23 PM,41.746397435,-87.64755903,"(41.746397435, -87.64755903)"
38615,12324535,JE180137,03/21/2021 07:36:00 PM,010XX W ADDISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1924,19,44.0,6,14,1168679.0,1924089.0,2021,03/30/2021 04:49:43 PM,41.947227653,-87.655380005,"(41.947227653, -87.655380005)"
4738,12267040,JE109924,01/11/2021 03:59:00 PM,091XX S WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,634,6,9.0,49,08B,1178320.0,1844259.0,2021,01/18/2021 04:01:40 PM,41.727953515,-87.622371454,"(41.727953515, -87.622371454)"
3550,12264975,JE107550,01/09/2021 01:38:00 AM,073XX S PERRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,731,7,6.0,69,14,1176668.0,1856233.0,2021,01/16/2021 03:52:53 PM,41.760848923000005,-87.62806349700001,"(41.760848923, -87.628063497)"
48724,12339906,JE197343,04/12/2021 03:20:00 PM,051XX N LINCOLN AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SMALL RETAIL STORE,False,False,2031,20,40.0,4,04A,1158555.0,1934254.0,2021,04/19/2021 05:20:48 PM,41.975334679,-87.692313579,"(41.975334679, -87.692313579)"
39391,12322924,JE178086,03/24/2021 08:10:00 AM,090XX S DREXEL AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,413,4,8.0,47,08A,1184141.0,1845160.0,2021,03/31/2021 04:59:47 PM,41.730292049,-87.601020202,"(41.730292049, -87.601020202)"
11651,12277126,JE121649,01/24/2021 02:57:00 AM,023XX S WHIPPLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1033,10,12.0,30,08B,1156394.0,1888270.0,2021,01/31/2021 03:48:03 PM,41.84919487,-87.70150603100002,"(41.84919487, -87.701506031)"
38102,12321407,JE176360,03/22/2021 02:15:00 AM,021XX W WASHINGTON BLVD,0460,BATTERY,SIMPLE,CONVENIENCE STORE,False,False,1223,12,27.0,28,08B,1162122.0,1900665.0,2021,03/29/2021 04:53:03 PM,41.883090343,-87.680137475,"(41.883090343, -87.680137475)"
29776,12307685,JE159743,03/05/2021 08:00:00 AM,001XX E 70TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,322,3,6.0,69,08B,1178542.0,1858639.0,2021,03/12/2021 03:54:10 PM,41.767408883,-87.621122219,"(41.767408883, -87.621122219)"
47114,12336049,JE194344,04/09/2021 12:40:00 PM,047XX N SHERIDAN RD,0560,ASSAULT,SIMPLE,OTHER (SPECIFY),False,False,1914,19,46.0,3,08A,1168772.0,1931854.0,2021,04/16/2021 05:26:56 PM,41.968533072,-87.65481216799999,"(41.968533072, -87.654812168)"
39406,12326757,JE176935,03/23/2021 01:00:00 AM,085XX S MACKINAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,424,4,10.0,46,14,1199954.0,1848919.0,2021,03/31/2021 04:56:53 PM,41.740223238,-87.54296695,"(41.740223238, -87.54296695)"
38646,12322401,JE177406,03/23/2021 01:55:00 PM,013XX N HUDSON AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,True,False,1821,18,27.0,8,10,1173068.0,1909520.0,2021,03/30/2021 04:51:43 PM,41.907153315,-87.639680572,"(41.907153315, -87.639680572)"
24983,12300738,JE151453,02/24/2021 11:25:00 PM,055XX W IRVING PARK RD,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,1633,16,38.0,15,08A,1138713.0,1926048.0,2021,03/03/2021 03:47:36 PM,41.953200913,-87.76548033200001,"(41.953200913, -87.765480332)"
26006,12304377,JE155657,02/26/2021 01:00:00 PM,009XX W 95TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2223,22,21.0,73,08B,1171509.0,1841818.0,2021,03/05/2021 03:49:32 PM,41.721406726,-87.647392574,"(41.721406726, -87.647392574)"
34445,12315334,JE169022,03/14/2021 05:33:00 PM,006XX E 45TH ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,221,2,3.0,38,04A,1181279.0,1875317.0,2021,03/21/2021 04:49:58 PM,41.813112192,-87.610576113,"(41.813112192, -87.610576113)"
14243,12281303,JE126697,01/29/2021 01:50:00 PM,020XX W 43RD ST,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,924,9,12.0,61,08A,1163665.0,1876150.0,2021,02/05/2021 03:47:46 PM,41.815786390999996,-87.67516145299999,"(41.815786391, -87.675161453)"
17286,12287059,JE133845,02/06/2021 01:24:00 AM,070XX S MAY ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,733,7,6.0,68,04B,1169870.0,1858045.0,2021,02/13/2021 03:48:24 PM,41.765971524,-87.652925956,"(41.765971524, -87.652925956)"
26814,12303257,JE154477,02/27/2021 07:35:00 PM,002XX E 47TH ST,0461,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",COMMERCIAL / BUSINESS OFFICE,False,False,215,2,3.0,38,04B,1178533.0,1873911.0,2021,03/06/2021 03:50:24 PM,41.809316941,-87.620691215,"(41.809316941, -87.620691215)"
1747,12259754,JE101488,01/02/2021 04:45:00 PM,003XX N CICERO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN / LIQUOR STORE,False,False,1532,15,28.0,25,14,1144311.0,1901922.0,2021,01/16/2021 03:49:23 PM,41.886893085,-87.745509336,"(41.886893085, -87.745509336)"
17115,12287507,JE134601,02/06/2021 06:50:00 PM,075XX N PAULINA ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2422,24,49.0,1,06,1163658.0,1950102.0,2021,02/13/2021 03:48:24 PM,42.018715709,-87.673098745,"(42.018715709, -87.673098745)"
37872,12320226,JE174916,03/21/2021 03:00:00 AM,0000X E DELAWARE PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1833,18,42.0,8,08B,1176452.0,1906633.0,2021,03/28/2021 04:57:44 PM,41.89915549,-87.627337095,"(41.89915549, -87.627337095)"
39630,12323730,JE179152,03/25/2021 09:30:00 AM,054XX W FULTON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,False,1523,15,37.0,25,04A,1140007.0,1901483.0,2021,04/01/2021 05:04:48 PM,41.88576823,-87.761325751,"(41.88576823, -87.761325751)"
19355,12289868,JE137498,02/10/2021 12:20:00 AM,088XX S HERMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2221,22,21.0,71,08B,1166219.0,1846169.0,2021,02/19/2021 03:45:56 PM,41.733460567,-87.666645441,"(41.733460567, -87.666645441)"
10098,12275440,JE119633,01/21/2021 08:30:00 PM,018XX N LONG AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2532,25,37.0,25,08B,1140108.0,1911620.0,2021,01/28/2021 03:49:05 PM,41.913583518,-87.760706384,"(41.913583518, -87.760706384)"
46775,12335187,JE193374,04/08/2021 01:20:00 PM,008XX N KEDZIE AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,1121,11,27.0,23,08B,1154891.0,1905271.0,2021,04/15/2021 05:38:17 PM,41.895877613,-87.706566627,"(41.895877613, -87.706566627)"
27292,12304902,JE156462,03/01/2021 11:59:00 PM,007XX E 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,624,6,6.0,44,08B,1182734.0,1852793.0,2021,03/08/2021 03:55:51 PM,41.751270583,-87.60593808200001,"(41.751270583, -87.605938082)"
3914,12268590,JE111610,01/07/2021 09:30:00 PM,080XX S MARYLAND AVE,0810,THEFT,OVER $500,APARTMENT,False,False,631,6,8.0,44,06,1183300.0,1851826.0,2021,01/16/2021 03:49:23 PM,41.748603883,-87.60389403399998,"(41.748603883, -87.603894034)"
36636,12318846,JE173086,03/19/2021 07:50:00 AM,087XX S LAFAYETTE AVE,0560,ASSAULT,SIMPLE,RESTAURANT,True,True,634,6,21.0,44,08A,1177466.0,1846940.0,2021,03/26/2021 05:00:56 PM,41.735329834,-87.62541901899998,"(41.735329834, -87.625419019)"
16446,12285452,JE131875,02/04/2021 12:22:00 AM,069XX S EBERHART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,322,3,6.0,69,08B,1180779.0,1859019.0,2021,02/11/2021 03:47:49 PM,41.768400519000004,-87.61291106200001,"(41.768400519, -87.612911062)"
48778,12337978,JE196764,04/12/2021 02:09:00 AM,007XX N PULASKI RD,0460,BATTERY,SIMPLE,SCHOOL - PRIVATE GROUNDS,False,False,1111,11,37.0,23,08B,1149590.0,1904648.0,2021,04/19/2021 05:20:48 PM,41.894272651,-87.72605239399998,"(41.894272651, -87.726052394)"
26958,12303930,JE155394,02/28/2021 08:15:00 PM,010XX W BRYN MAWR AVE,0820,THEFT,$500 AND UNDER,ATM (AUTOMATIC TELLER MACHINE),False,False,2023,20,48.0,77,06,1168086.0,1937366.0,2021,03/07/2021 03:52:28 PM,41.983673036,-87.657174571,"(41.983673036, -87.657174571)"
